Results Table 1,,
,Specimen label,Specimen note 1
1,400,
,,
Time,Displacement,Force
(s),(mm),(N)
6.24,41.277,872.8413
6.26,41.4104,872.8756
6.28,41.5438,873.0715
6.3,41.6771,873.0261
6.32,41.8104,873.1617
6.34,41.9437,873.2902
6.36,42.0771,873.4254
6.38,42.2105,873.5566
6.4,42.3439,873.6182
6.42,42.4771,873.7537
6.44,42.6103,873.8163
6.46,42.7436,873.924
6.48,42.877,874.035
6.5,43.0104,874.2522
6.52,43.1437,874.3209
6.54,43.2771,874.4758
6.56,43.4105,874.5755
6.58,43.5438,874.7158
6.6,43.677,874.7172
6.62,43.8103,874.7823
6.64,43.9436,874.9053
6.66,44.077,874.9716
6.68,44.2104,875.1523
6.7,44.3437,875.2171
6.72,44.4771,875.3958
6.74,44.6104,875.4651
6.76,44.7437,875.5543
6.78,44.877,875.5979
6.8,45.0104,875.7676
6.82,45.1438,875.8967
6.84,45.2771,875.993
6.86,45.4103,876.0891
6.88,45.5436,876.1384
6.9,45.6769,876.2774
6.92,45.8103,876.3483
6.94,45.9437,876.4929
6.96,46.0771,876.5556
6.98,46.2105,876.7306
7,46.3438,876.8127
7.02,46.4771,876.9164
7.04,46.6103,876.9996
7.06,46.7436,877.1394
7.08,46.877,877.2217
7.1,47.0104,877.3583
7.12,47.1438,877.5253
7.14,47.2771,877.5826
7.16,47.4104,877.7744
7.18,47.5438,877.9029
7.2,47.6771,878.0699
7.22,47.8104,878.091
7.24,47.9437,878.1929
7.26,48.077,878.3278
7.28,48.2104,878.4662
7.3,48.3437,878.6687
7.32,48.477,878.7678
7.34,48.6104,878.9662
7.36,48.7437,879.0811
7.38,48.877,879.1848
7.4,49.0104,879.2766
7.42,49.1437,879.5297
7.44,49.277,879.5997
7.46,49.4104,879.7462
7.48,49.5437,879.8105
7.5,49.6771,879.892
7.52,49.8104,880.0187
7.54,49.9438,880.1071
7.56,50.077,880.2445
7.58,50.2103,880.303
7.6,50.3437,880.4772
7.62,50.477,880.5853
7.64,50.6105,880.7168
7.66,50.7438,880.808
7.68,50.8771,881.0084
7.7,51.0103,881.1131
7.72,51.1435,881.2424
7.74,51.2768,881.3343
7.76,51.4103,881.439
7.78,51.5437,881.6624
7.8,51.6771,881.6781
7.82,51.8105,881.8531
7.84,51.9438,881.879
7.86,52.077,882.063
7.88,52.2103,882.1756
7.9,52.3437,882.3469
7.92,52.477,882.4576
7.94,52.6104,882.6039
7.96,52.7437,882.7365
7.98,52.877,882.9293
8,53.0104,883.1139
8.02,53.1437,883.2034
8.04,53.2771,883.3956
